,Project Name,Region,Sector,Current Status,Implementing Agency,Project URL,Project Description,Project Cost,Procurement Mode,PPP Structure,Private Proponent,Status,Cooperation Period,,Indicative Cost,Private Proponen,Private Propoent,Original Proponent,Project Proponent,Private Proponent(s),https://www.dpwh.gov.ph/dpwh/PPP/projs/tr4,Private Proponents,Other Implementing Agencies website URL,Concession Period,Private Proponent:,DOTr Website,Implemention Mode
21,"Joint Venture Agreement for the Financing, Improvement, Rehabilitation, Expansion, Operation and Maintenance of the Water Supply and Septage Management Systems of Surigao Metropolitan Water District",REGION XIII - CARAGA,"Environmental,Water,Water and Sanitation","Under Pre-Construction,Awarded",Surigao Metropolitan Water District,https://ppp.gov.ph/ppp_projects/joint-venture-agreement-for-the-financing-improvement-rehabilitation-expansion-operation-and-maintenance-of-the-water-supply-and-septage-management-systems-of-surigao-metropolitan-water-district/,,"Php 3,153.69 Million",Unsolicited,Joint Venture,Primewater Infrastructure Corp.,Under pre-construction,-,,,,,,,,,,,,,,
22,"Joint Venture Agreement for the Financing, Development, Rehabilitation, Expansion, Improvement, Operation and Maintenance of the Water Supply and Septage Management System of Sorsogon City Water District",REGION V - BICOL,"Environmental,Water,Water and Sanitation","Operational,Awarded",Sorsogon City Water District (SCWD),https://ppp.gov.ph/ppp_projects/joint-venture-agreement-for-the-financing-development-rehabilitation-expansion-improvement-operation-and-maintenance-of-the-water-supply-and-septage-management-system-of-sorsogon-city-water-distr/,,"Php 1,598.07",Unsolicited,Joint Venture,Primewater Infrastructure Corp.,Operational,-,,,,,,,,,,,,,,
23,"Joint Venture Agreement for the Financing, Development, Improvement, Rehabilitation, Expansion, Operation and Maintenance of the Water Supply System of Silang Water District",REGION IV-A - CALABARZON,"Environmental,Water,Water and Sanitation","Operational,Awarded",Silang Water District (SWD),https://ppp.gov.ph/ppp_projects/joint-venture-agreement-for-the-financing-development-improvement-rehabilitation-expansion-operation-and-maintenance-of-the-water-supply-system-of-silang-water-district/,,-,Unsolicited,Joint Venture,Primewater Infrastructure Corp.,Operational,-,,,,,,,,,,,,,,
24,"Joint Venture Agreement for the Financing, Development, Rehabilitation, Expansion, Improvement, Operation and Maintenance of the Water Supply System and Septage Management System of the San Rafael Water District",REGION III - CENTRAL LUZON,"Environmental,Water,Water and Sanitation","Operational,Awarded",San Rafael Water District (SRWD),https://ppp.gov.ph/ppp_projects/joint-venture-agreement-for-the-financing-development-rehabilitation-expansion-improvement-operation-and-maintenance-of-the-water-supply-system-and-septage-management-system-of-the-san-rafael-wat/,,"Php 1,124.41 Million",Unsolicited,Joint Venture,,Operational,-,,,Primewater Infrastructure Corp.,,,,,,,,,,,
25,"Joint Venture Agreement for the Financing, Development, Rehabilitation, Upgrading, Expansion, Operation and Maintenance of Potable Water Supply and Septage Management Systems of Metro San Fernando Water District (La Union)",REGION I - ILOCOS,"Environmental,Water,Water and Sanitation","Operational,Awarded",Metro San Fernando Water District - La Union,https://ppp.gov.ph/ppp_projects/joint-venture-agreement-for-the-financing-development-rehabilitation-upgrading-expansion-operation-and-maintenance-of-potable-water-supply-and-septage-management-systems-of-metro-san-fernando-wat/,,-,Unsolicited,Joint Venture,Primewater Infrastructure Corp.,Operational,-,,,,,,,,,,,,,,
26,"Joint Venture Agreement for the Financing, Development, Rehabilitation, Expansion, Improvement, Operation and Maintenance of the Water Supply of City of San Fernando Water District",REGION I - ILOCOS,"Environmental,Water,Water and Sanitation","Operational,Awarded",City of San Fernando Water District (CSFWD),https://ppp.gov.ph/ppp_projects/joint-venture-agreement-for-the-financing-development-rehabilitation-expansion-improvement-operation-and-maintenance-of-the-water-supply-of-city-of-san-fernando-water-district/,,"Php 2,955.97 Million",Unsolicited,Joint Venture,Primewater Infrastructure Corp.,Operational,-,,,,,,,,,,,,,,
27,"Joint Venture Agreement for the Financing, Development, Rehabilitation, Improvement, Expansion, Operation and Maintenance of Water Supply System of San Carlos City, Pangasinan",REGION I - ILOCOS,"Environmental,Water,Water and Sanitation","Operational,Awarded",San Carlos City Water District,https://ppp.gov.ph/ppp_projects/joint-venture-agreement-for-the-financing-development-rehabilitation-improvement-expansion-operation-and-maintenance-of-water-supply-system-of-san-carlos-city-pangasinan/,,"Php 2,164.00 Million",Unsolicited,Joint Venture,Primewater Infrastructure Corp.,Operational,-,,,,,,,,,,,,,,
28,"Joint Venture Agreement for the Financing, Development, Rehabilitation, Expansion, Improvement, Operation and Maintenance of the Water Supply System and Construction and Management of the Septage Management Facilities of Paniqui Water District",REGION III - CENTRAL LUZON,"Environmental,Water,Water and Sanitation","Operational,Awarded",Paniqui Water District,https://ppp.gov.ph/ppp_projects/joint-venture-agreement-for-the-financing-development-rehabilitation-expansion-improvement-operation-and-maintenance-of-the-water-supply-system-and-construction-and-management-of-the-septage-mana/,,"Php 1,457.00 Million",Unsolicited,Joint Venture,Primewater Infrastructure Corp.,Operational,-,,,,,,,,,,,,,,
29,"Joint Venture Agreement for the Financing, Development, Rehabilitation, Expansion, Improvement, Operation and Maintenance of the Water Supply System of the Orani Water District",REGION III - CENTRAL LUZON,"Environmental,Water,Water and Sanitation","Operational,Awarded",Orani Water District (OWD),https://ppp.gov.ph/ppp_projects/joint-venture-agreement-for-the-financing-development-rehabilitation-expansion-improvement-operation-and-maintenance-of-the-water-supply-system-of-the-orani-water-district/,,"Php 1,031.17 Million",Unsolicited,Joint Venture,Primewater Infrastructure Corp.,Operational,-,,,,,,,,,,,,,,
30,"Joint Venture Agreement for the Financing, Development, Rehabilitation, Expansion, Improvement, Operation and Maintenance of the Water Supply and Septage System for Metro Ozamiz Water District",REGION X - NORTHERN MINDANAO,"Environmental,Water and Sanitation","Operational,Awarded",Metro Ozamis Water District,https://ppp.gov.ph/ppp_projects/joint-venture-agreement-for-the-financing-development-rehabilitation-expansion-improvement-operation-and-maintenance-of-the-water-supply-and-septage-system-for-metro-ozamiz-water-district/,,"Php 1,624.23 Million",Unsolicited,Joint Venture,Primewater Infrastructure Corp.,Operational,-,,,,,,,,,,,,,,
31,"Joint Venture Agreement for the Financing, Development, Rehabilitation, Expansion, Improvement, Operation and Maintenance of the Water Supply and Septage System of the Meycauayan Water District",REGION III - CENTRAL LUZON,"Environmental,Water,Water and Sanitation","Operational,Awarded",Meycauayan Water District (MWD),https://ppp.gov.ph/ppp_projects/joint-venture-agreement-for-the-financing-development-rehabilitation-expansion-improvement-operation-and-maintenance-of-the-water-supply-and-septage-system-of-the-meycauayan-water-district/,,"Php 2,661.13 Million",Unsolicited,Joint Venture,Primewater Infrastructure Corp.,Operational,-,,,,,,,,,,,,,,
32,"Joint Venture Agreement for the Financing, Development, Rehabilitation, Expansion, Improvement, Operation and Maintenance of the Water Supply and Septage System of the City of Malolos Water District",REGION III - CENTRAL LUZON,"Environmental,Water,Water and Sanitation","Operational,Awarded",City of Malolos Water District (CMWD),https://ppp.gov.ph/ppp_projects/joint-venture-agreement-for-the-financing-development-rehabilitation-expansion-improvement-operation-and-maintenance-of-the-water-supply-and-septage-system-of-the-city-of-malolos-water-district/,,"Php 3,711.22",Unsolicited,Joint Venture,Primewater Infrastructure Corp.,Operational,-,,,,,,,,,,,,,,
33,"Joint Venture Agreement for the Financing, Development, Rehabilitation, Expansion, Improvement, Operation and Maintenance of the Water Supply and Septage Management Systems of the Marilao Water District",REGION III - CENTRAL LUZON,"Environmental,Water,Water and Sanitation","Operational,Awarded",Marilao Water District (MARWADIS),https://ppp.gov.ph/ppp_projects/joint-venture-agreement-for-the-financing-development-rehabilitation-expansion-improvement-operation-and-maintenance-of-the-water-supply-and-septage-management-systems-of-the-marilao-water-distri/,,"Php 2,918.46 Million",Unsolicited,Joint Venture,Primewater Infrastructure Corp.,Operational,-,,,,,,,,,,,,,,
34,"Joint Venture Agreement for the Financing, Development, Rehabilitation, Expansion, Improvement, Operation and Maintenance of the Water Supply  and Septage Management Systems of Mabalacat City Water District",REGION III - CENTRAL LUZON,"Environmental,Water,Water and Sanitation","Operational,Awarded",Mabalacat City Water District,https://ppp.gov.ph/ppp_projects/joint-venture-agreement-for-the-financing-development-rehabilitation-expansion-improvement-operation-and-maintenance-of-the-water-supply-and-septage-management-systems-of-mabalacat-city-water-di/,,,Unsolicited,Joint Venture,Primewater Infrastructure Corp.,Operational,-,,,,,,,,,,,,,,
35,"Joint Venture Agreement for the Financing, Development, Rehabilitation, Expansion, Improvement, Operation and Maintenance of the Water Supply of the Maasin Water District",REGION VIII - EASTERN VISAYAS,"Environmental,Water,Water and Sanitation","Operational,Awarded",Maasin Water District (MWD),https://ppp.gov.ph/ppp_projects/joint-venture-agreement-for-the-financing-development-rehabilitation-expansion-improvement-operation-and-maintenance-of-the-water-supply-of-the-maasin-water-district/,,Php 570.26 Million,Unsolicited,Joint Venture,Primewater Infrastructure Corp.,Operational,-,,,,,,,,,,,,,,
36,"Joint Venture Agreement for the Financing, Development, Rehabilitation, Expansion, Improvement, Operation and Maintenance of the Water Supply and Septage System of the Lubao Water District",REGION III - CENTRAL LUZON,"Environmental,Water,Water and Sanitation","Operational,Awarded",Lubao Water District (LWD),https://ppp.gov.ph/ppp_projects/joint-venture-agreement-for-the-financing-development-rehabilitation-expansion-improvement-operation-and-maintenance-of-the-water-supply-and-septage-system-of-the-lubao-water-district/,,"Php 2,343.34 Million",Unsolicited,Joint Venture,Primewater Infrastructure Corp.,Operational,-,,,,,,,,,,,,,,
37,"Joint Venture Agreement for the Financing, Development, Rehabilitation, Expansion,  Improvement, Operation and Maintenance of the Water Supply and Septage Management Systems of Leyte Metropolitan Water District",REGION VIII - EASTERN VISAYAS,"Environmental,Water,Water and Sanitation","Operational,Awarded",Leyte Metropolitan Water District (LMWD),https://ppp.gov.ph/ppp_projects/joint-venture-agreement-for-the-financing-development-rehabilitation-expansion-improvement-operation-and-maintenance-of-the-water-supply-and-septage-management-systems-of-leyte-metropolitan-wate/,,"Php 6,143.74 Million",Unsolicited,Joint Venture,,Operational,-,,,,Primewater Infrastructure Corp.,,,,,,,,,,
38,"Joint Venture Agreement for the Financing, Development, Rehabilitation, Expansion, Improvement,  Operation and Maintenance of the Water Supply and Septage System of Iriga City Water District",REGION I - ILOCOSREGION V - BICOL,"Water,Water and Sanitation","Operational,Awarded",Iriga City Water District (ICWD),https://ppp.gov.ph/ppp_projects/joint-venture-agreement-for-the-financing-development-rehabilitation-expansion-improvement-operation-and-maintenance-of-the-water-supply-and-septage-system-of-iriga-city-water-district/,,"Php 1,787.14 Million",Unsolicited,Joint Venture,Primewater Infrastructure Corp.,Operational,-,,,,,,,,,,,,,,
39,"Joint Venture Agreement for the Financing, Development, Rehabilitation, Expansion, Improvement, Operation and Maintenance of the Water System and Septage Management Services of the Ilocos Norte Water District",REGION I - ILOCOS,"Environmental,Water and Sanitation","Operational,Awarded",Ilocos Norte Water District,https://ppp.gov.ph/ppp_projects/joint-venture-agreement-for-the-financing-development-rehabilitation-expansion-improvement-operation-and-maintenance-of-the-water-system-and-septage-management-services-of-the-ilocos-norte-water/,,"Php 3,343 Million",Unsolicited,Joint Venture,Primewater Infrastructure Corp.,Operational,-,,,,,,,,,,,,,,
40,"Joint Venture Agreement for the Financing, Development, Rehabilitation, Expansion, Improvement, Operation and Maintenance of the Water Supply System of the Guagua Water District",REGION III - CENTRAL LUZON,"Environmental,Water,Water and Sanitation","Operational,Awarded",Guagua Water District,https://ppp.gov.ph/ppp_projects/joint-venture-agreement-for-the-financing-development-rehabilitation-expansion-improvement-operation-and-maintenance-of-the-water-supply-system-of-the-guagua-water-district/,,"Php 1,554.74 Million",Unsolicited,Joint Venture,Primewater Infrastructure Corp.,Operational,-,,,,,,,,,,,,,,
41,"Joint Venture Agreement for the Financing, Development, Rehabilitation, Expansion, Improvement Operation and Maintenance of the Water Supply System and Septage System of the Gapan City Water District",REGION III - CENTRAL LUZON,"Environmental,Water,Water and Sanitation","Operational,Awarded",Gapan City Water District,https://ppp.gov.ph/ppp_projects/joint-venture-agreement-for-the-financing-development-rehabilitation-expansion-improvement-operation-and-maintenance-of-the-water-supply-system-and-septage-system-of-the-gapan-city-water-district/,,"Php 1,366.88 Million",Unsolicited,Joint Venture,Primewater Infrastructure Corp.,Operational,-,,,,,,,,,,,,,,
42,"Joint Venture Agreement for the Financing, Development, Rehabilitation, Improvement, Expansion, Operation and Maintenance of the Water Supply System and Septage Facilities for Floridablanca Water District",REGION III - CENTRAL LUZON,"Environmental,Water,Water and Sanitation","Operational,Awarded",Floridablanca Water District,https://ppp.gov.ph/ppp_projects/joint-venture-agreement-for-the-financing-development-rehabilitation-improvement-expansion-operation-and-maintenance-of-the-water-supply-system-and-septage-facilities-for-floridablanca-water-dist/,,"Php 1,902.69 Million",Unsolicited,Joint Venture,Primewater Infrastructure Corp.,Operational,-,,,,,,,,,,,,,,
43,"Joint Venture Agreement for the Financing, Development, Rehabilitation, Improvement, Operation and Maintenance of the Water Supply System and Sanitation and Septage Management Facilities of Camiling Water District",REGION III - CENTRAL LUZON,"Environmental,Water,Solid Waste,Solid Waste Management,Water and Sanitation","Operational,Awarded",Camiling Water District (CWD),https://ppp.gov.ph/ppp_projects/joint-venture-agreement-for-the-financing-development-rehabilitation-improvement-operation-and-maintenance-of-the-water-supply-system-and-sanitation-and-septage-management-facilities-of-camiling-w/,,-,Unsolicited,Joint Venture,Primewater Infrastructure Corp.,Operational,-,,,,,,,,,,,,,,
44,"Joint Venture Agreement for the Financing, Development, Rehabilitation, Improvement, Expansion, Operation and Maintenance of the Water Supply System; and Construction and Management of Septage Facilities for Camarines Norte Water District",REGION V - BICOL,"Environmental,Water,Solid Waste Management","Operational,Awarded",Camarines Norte Water District (CNWD),https://ppp.gov.ph/ppp_projects/joint-venture-agreement-for-the-financing-development-rehabilitation-improvement-expansion-operation-and-maintenance-of-the-water-supply-system-and-construction-and-management-of-septage-facilit/,,Php 2.9863 Billion,Unsolicited,Joint Venture,Primewater Infrastructure Corp.,Operational,-,,,,,,,,,,,,,,
45,"Joint Venture Agreement for the Financing, Development, Rehabilitation, Expansion, Improvement, Operation and Maintenance of the Water Supply and Septage Management Services of the Batac Water District",REGION I - ILOCOS,Water,"Operational,Awarded",Batac Water District,https://ppp.gov.ph/ppp_projects/joint-venture-agreement-for-the-financing-development-rehabilitation-expansion-improvement-operation-and-maintenance-of-the-water-supply-and-septage-management-services-of-the-batac-water-distric/,,Php 642.37 Million,Unsolicited,Joint Venture,Primewater Infrastructure Corp.,Operational,-,,,,,,,,,,,,,,
46,"Joint Venture Agreement for the Establishment, Operation and Maintenance of Bataan-Manila Integrated Transportation System (BatMan ITS)",REGION III - CENTRAL LUZON,"Transportation,Transport Terminal","Operational,Awarded",Provincial Government of Bataan,https://ppp.gov.ph/ppp_projects/joint-venture-agreement-for-the-establishment-operation-and-maintenance-of-bataan-manila-integrated-transportation-system-batman-its/,,-,Unsolicited,Joint Venture,Magic Leaf Marine Logistics Corporation,Operational,-,,,,,,,,,,,,,,
47,"Joint Venture Agreement for the Financing, Development, Rehabilitation, Improvement, Expansion, Operation and Maintenance of the Water Supply System and Septage Management Facilities for Agoncillo Water District",REGION IV-A - CALABARZON,Water,"Operational,Awarded",Agoncillo Water District (AWD),https://ppp.gov.ph/ppp_projects/joint-venture-agreement-for-the-financing-development-rehabilitation-improvement-expansion-operation-and-maintenance-of-the-water-supply-system-and-septage-management-facilities-for-agoncillo-wat/,,-,Unsolicited,Joint Venture,Primewater Infrastructure Corp.,Operational,-,,,,,,,,,,,,,,
48,Joint-Venture Project on Bulk Water Supply (JV1),REGION VI - WESTERN VISAYAS,Water,"Under Construction,Awarded",Metro Iloilo Water District (MIWD),https://ppp.gov.ph/ppp_projects/joint-venture-project-on-bulk-water-supply-jv1-2/,,Php 2.80 Billion,Unsolicited,-,MetroPac Water Investments Corporation (MWIC),Under construction,-,,,,,,,,,,,,,,
49,Joint-Venture Project on Water Distribution (JV2),REGION VI - WESTERN VISAYAS,Water,"Under Pre-Construction,Awarded",Metro Iloilo Water District (MIWD),https://ppp.gov.ph/ppp_projects/joint-venture-project-on-water-distribution-jv2/,,Php 12.350 Billion,Unsolicited,Joint Venture,MetroPac Water Investments Corporation (MWIC),Under pre-construction,-,,,,,,,,,,,,,,
50,Lingayen Water District Joint-Venture Agreement Project,REGION I - ILOCOS,Water,"Operational,Awarded",Lingayen Water District,https://ppp.gov.ph/ppp_projects/lingayen-water-district-joint-venture-agreement-project/,,-,Unsolicited,Joint Venture,Prime Water Infrastructure Corporation,Operational,-,,,,,,,,,,,,,,
51,New Clark City – Mixed Use Industrial Real Estate Development,REGION III - CENTRAL LUZON,Property Development,"Under Construction,Awarded",,https://ppp.gov.ph/ppp_projects/new-clark-city-mixed-use-industrial-real-estate-development/,,Php 308.60 Million,Solicited,Joint Venture Agreement (JVA),"Filinvest Land, Inc.",Under construction,50 years (2016-2066),,,,,,,,,,,,,,
52,Parañaque City Mixed-Used Development Project,NATIONAL CAPITAL REGION,Property Development,"Under Pre-Construction,Awarded",Local Government of Parañaque City,https://ppp.gov.ph/ppp_projects/paranaque-city-mixed-used-development-project/,,Php 4.00 Billion,Unsolicited,-,"Anchor Land Holdings, Inc.",Pre-construction,-,,,,,,,,,,,,,,
53,"NLEX Harbor Link Project (Segments 8.1, 8.2, 9, and 10)",NATIONAL CAPITAL REGION,Road,"Operational,Awarded",,https://ppp.gov.ph/ppp_projects/nlex-harbor-link-project-segments-8-1-8-2-9-and-10/,,Php 26.020 Billion,Unsolicited,Supplemental Toll Operation Agreement,Manila North Tollways Corporation (MNTC),Operational,-,,,,,,,,,,,,,,
54,"Joint Venture Agreement for the Financing, Development, Rehabilitation, Expansion, Improvement, Operation and Maintenance of the Water Supply and Septage System of the Rosales Water District",REGION I - ILOCOS,Water,"Operational,Awarded",Rosales Water District,https://ppp.gov.ph/ppp_projects/rosales-water-district-jv-project/,,-,Unsolicited,-,Rosales Water District,Operational,-,,,,,,,,,,,,,,
55,Redevelopment of City Slaughterhouse,REGION X - NORTHERN MINDANAO,Property Development,"Operational,Awarded",Local Government of Cagayan de Oro City,https://ppp.gov.ph/ppp_projects/redevelopment-of-city-slaughterhouse/,,Php 48.54 Million,Unsolicited,-,Mega Integrated Agro-Livestock Farm;  AVM Bernardo Engineering,Operational,-,,,,,,,,,,,,,,
56,Metro Manila Expressway C6,NATIONAL CAPITAL REGION,Road,"Under Construction,Awarded",,https://ppp.gov.ph/ppp_projects/metro-manila-expressway-c6/,,Php 35.5 Billion,Solicited,Supplemental Toll Operation Agreement,Citra Intercity Tollways Incorporated (CITI),Under construction.,30 years,,,,,,,,,,,,,,
57,Tagum City Waste-to-Energy Plant Project,REGION XI - DAVAO,"Environmental,Solid Waste,Solid Waste Management","Under Pre-Construction,Awarded",Local Government of Tagum City,https://ppp.gov.ph/ppp_projects/tagum-city-waste-to-energy-plant-project/,,Php 757.61 Million,Unsolicited,-,"Global Green International Energy Philippines, Inc. (GGIEP)",Under pre-construction,-,,,,,,,,,,,,,,
