,Implementing Agency,Project Description,Project Cost,Procurement Mode,PPP Structure,Region,Sector,Private Proponent,Status,Cooperation Period,,Indicative Cost,Private Proponen
16,Local Government of Dagupan City,"Establishment of a waste to worth facility which converts plastic wastes into low sulfur diesel fuel and food wastes into methane gas for cooking, lighting, among others. It will have three major unit operations, which will be for material recovery and for converting food and plastic wastes into diesel and natural gas.",Php 551 Million,Unsolicited,Joint Venture,REGION I - ILOCOS,"Environmental,Solid Waste Management","Sure Global W2W1 PTE, Ltd",Under pre-construction,20 years,,,
17,City Government of Puerto Princesa,"This project will address Puerto Princesa City Government’s PCG’s concern on the technical viability of the continuing operations of the City Landfill Facility in the next couple of years due to its diminishing storage capacity and methane gas emissions which are detrimental to the public. In this project, the private proponent shall undertake the development and utilization of all waste materials found and deposited in the City Sanitary Landfill Facility, and all future waste to be deposited in the Facility. The facility, will comprise of a plasma-gasification process that will process all the current waste of the city and Generate up to 4.2MW of base-load electricity, twenty-four-seven, for the entire city.",Php 2.180 Billion,Unsolicited,Joint Venture,,"Environmental,Solid Waste Management",Austworks Corporation,Pre-construction,25 Years (2016-2041),,,
18,Local Government of Puerto Princesa City,"The project aims to provide sewage, septage and sanitation services for the City of Puerto Princesa in compliance with the requirements of the Philippine Clean Water Act of 2004 . Moreover it aims to protect the environment, particularly the bay of Puerto Princesa, by cleaning wastewater for potential reuse via a facility that utilizes proven technology.",Php 240 Million,Unsolicited,Joint Venture Agreement (JVA),REGION IV-B - MIMAROPA,"Environmental,Water and Sanitation","Eco-System Technologies, Inc. (ESTI)","Per coordination with the LGU on April 14, 2021, the project is in the construction stage.",25 Years (2018-2043),,,
19,Urdaneta City Water District (UCWD),–,"Php 2,140.63",Unsolicited,Joint Venture,REGION I - ILOCOS,"Environmental,Water,Water and Sanitation",Primewater Infrastructure Corp.,Operational,-,,,
20,Surigao Metropolitan Water District,–,"Php 3,153.69 Million",Unsolicited,Joint Venture,REGION XIII - CARAGA,"Environmental,Water,Water and Sanitation",Primewater Infrastructure Corp.,Under pre-construction,-,,,
21,Sorsogon City Water District (SCWD),–,"Php 1,598.07",Unsolicited,Joint Venture,REGION V - BICOL,"Environmental,Water,Water and Sanitation",Primewater Infrastructure Corp.,Operational,-,,,
22,Silang Water District (SWD),–,-,Unsolicited,Joint Venture,REGION IV-A - CALABARZON,"Environmental,Water,Water and Sanitation",Primewater Infrastructure Corp.,Operational,-,,,
23,San Rafael Water District (SRWD),–,"Php 1,124.41 Million",Unsolicited,Joint Venture,REGION III - CENTRAL LUZON,"Environmental,Water,Water and Sanitation",,Operational,-,,,Primewater Infrastructure Corp.
24,Metro San Fernando Water District - La Union,–,-,Unsolicited,Joint Venture,REGION I - ILOCOS,"Environmental,Water,Water and Sanitation",Primewater Infrastructure Corp.,Operational,-,,,
25,City of San Fernando Water District (CSFWD),–,"Php 2,955.97 Million",Unsolicited,Joint Venture,REGION I - ILOCOS,"Environmental,Water,Water and Sanitation",Primewater Infrastructure Corp.,Operational,-,,,
